ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region,region_distribution/51/percentage,region_distribution/51/region,region_distribution/52/percentage,region_distribution/52/region,region_distribution/53/percentage,region_distribution/53/region,region_distribution/54/percentage,region_distribution/54/region,region_distribution/55/percentage,region_distribution/55/region,region_distribution/56/percentage,region_distribution/56/region,region_distribution/57/percentage,region_distribution/57/region,region_distribution/58/percentage,region_distribution/58/region,region_distribution/59/percentage,region_distribution/59/region,region_distribution/60/percentage,region_distribution/60/region,region_distribution/61/percentage,region_distribution/61/region,region_distribution/62/percentage,region_distribution/62/region,region_distribution/63/percentage,region_distribution/63/region,region_distribution/64/percentage,region_distribution/64/region,region_distribution/65/percentage,region_distribution/65/region,region_distribution/66/percentage,region_distribution/66/region,region_distribution/67/percentage,region_distribution/67/region,region_distribution/68/percentage,region_distribution/68/region,region_distribution/69/percentage,region_distribution/69/region,region_distribution/70/percentage,region_distribution/70/region,region_distribution/71/percentage,region_distribution/71/region,region_distribution/72/percentage,region_distribution/72/region,region_distribution/73/percentage,region_distribution/73/region,region_distribution/74/percentage,region_distribution/74/region,region_distribution/75/percentage,region_distribution/75/region,region_distribution/76/percentage,region_distribution/76/region,region_distribution/77/percentage,region_distribution/77/region,region_distribution/78/percentage,region_distribution/78/region,region_distribution/79/percentage,region_distribution/79/region,region_distribution/80/percentage,region_distribution/80/region,region_distribution/81/percentage,region_distribution/81/region,region_distribution/82/percentage,region_distribution/82/region,region_distribution/83/percentage,region_distribution/83/region,region_distribution/84/percentage,region_distribution/84/region,region_distribution/85/percentage,region_distribution/85/region,region_distribution/86/percentage,region_distribution/86/region,region_distribution/87/percentage,region_distribution/87/region,region_distribution/88/percentage,region_distribution/88/region,region_distribution/89/percentage,region_distribution/89/region,region_distribution/90/percentage,region_distribution/90/region,region_distribution/91/percentage,region_distribution/91/region,region_distribution/92/percentage,region_distribution/92/region,region_distribution/93/percentage,region_distribution/93/region,region_distribution/94/percentage,region_distribution/94/region,region_distribution/95/percentage,region_distribution/95/region,region_distribution/96/percentage,region_distribution/96/region,region_distribution/97/percentage,region_distribution/97/region,region_distribution/98/percentage,region_distribution/98/region,region_distribution/99/percentage,region_distribution/99/region,region_distribution/100/percentage,region_distribution/100/region,region_distribution/101/percentage,region_distribution/101/region,region_distribution/102/percentage,region_distribution/102/region,region_distribution/103/percentage,region_distribution/103/region,region_distribution/104/percentage,region_distribution/104/region,region_distribution/105/percentage,region_distribution/105/region,region_distribution/106/percentage,region_distribution/106/region,region_distribution/107/percentage,region_distribution/107/region,region_distribution/108/percentage,region_distribution/108/region,region_distribution/109/percentage,region_distribution/109/region,region_distribution/110/percentage,region_distribution/110/region,region_distribution/111/percentage,region_distribution/111/region,region_distribution/112/percentage,region_distribution/112/region,region_distribution/113/percentage,region_distribution/113/region,region_distribution/114/percentage,region_distribution/114/region,region_distribution/115/percentage,region_distribution/115/region,region_distribution/116/percentage,region_distribution/116/region,region_distribution/117/percentage,region_distribution/117/region,region_distribution/118/percentage,region_distribution/118/region,region_distribution/119/percentage,region_distribution/119/region,region_distribution/120/percentage,region_distribution/120/region,region_distribution/121/percentage,region_distribution/121/region,region_distribution/122/percentage,region_distribution/122/region,region_distribution/123/percentage,region_distribution/123/region,region_distribution/124/percentage,region_distribution/124/region,region_distribution/125/percentage,region_distribution/125/region,region_distribution/126/percentage,region_distribution/126/region,region_distribution/127/percentage,region_distribution/127/region
"In the aftermath of the worst terrorist attack on Hispanic Americans in our country’s history, we hit pause on the campaign so I could be here in El Paso. El Paso has proven that it is stronger than any attack against it. But this moment has been a wake up call for America, and I see more clearly than ever what I need to do in this campaign.  

Now, we’re going to take this fight to the source, to the man that has caused this pain and placed us in this peril: Donald Trump. 

It’s going to take all of us in this next stage of our campaign. Will you make a contribution to help us win in 2020?",2019-08-15T14:18:52+0000,Beto for America,0,99,0,999,0.002079,Hawaii,0.033264,North Carolina,0.014553,Michigan,0.018711,Minnesota,0.012474,Missouri,0.008316,Nebraska,0.006237,Nevada,0.022869,New Jersey,0.010395,New Mexico,0.035343,New York,0.029106,Ohio,0.008316,Maine,0.035343,Oklahoma,0.02079,Oregon,0.049896,Pennsylvania,0.006237,Tennessee,0.318087,Texas,0.004158,Utah,0.016632,Virginia,0.018711,Washington,0.012474,Massachusetts,0.010395,Kentucky,0.004158,Louisiana,0.012474,Arkansas,0.006237,Maryland,0.002079,Mississippi,0.004158,New Hampshire,0.002079,Rhode Island,0.004158,South Carolina,0.002079,West Virginia,0.004158,Alabama,0.024948,Arizona,0.068607,California,0.018711,Kansas,0.016632,Colorado,0.006237,Connecticut,0.051975,Florida,0.010395,Georgia,0.006237,Idaho,0.029106,Illinois,0.008316,Indiana,0.008316,Iowa,0.014553,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the aftermath of the worst terrorist attack on Hispanic Americans in our country’s history, we hit pause on the campaign so I could be here in El Paso. But I know that is not going to be enough. Everything is outweighed by my responsibility to this country — because in a democracy, none of us can afford to sit on the sidelines.

Some have suggested that I run again for Senate. But that won’t be enough for my family, my community, or my country. I have to take this fight to the source, to the man that has caused this pain and placed us in this peril: Donald Trump.

It’s going to take all of us to win in 2020. Even the greatest candidate in the world cannot defeat Donald Trump on their own. So in the next few weeks, we’ll need to raise a lot more money to compete as hard as possible.

Can you make a contribution today to help us enter the next phase of this campaign and defeat Donald Trump?",2019-08-15T14:18:49+0000,Beto for America,0,99,1000,4999,0.005525,Alabama,0.000921,Wyoming,0.01105,Rhode Island,0.012891,South Carolina,0.000921,South Dakota,0.02302,Tennessee,0.116943,Texas,0.003683,Utah,0.001842,Vermont,0.026703,Virginia,0.007366,West Virginia,0.014733,Wisconsin,0.027624,Colorado,0.015654,Oregon,0.059853,Florida,0.022099,Georgia,0.021179,Kentucky,0.020258,Massachusetts,0.021179,New Jersey,0.009208,New Mexico,0.064457,New York,0.023941,North Carolina,0.029466,Ohio,0.122468,California,0.038674,Pennsylvania,0.009208,Oklahoma,0.003683,Alaska,0.010129,Kansas,0.020258,Arizona,0.012891,Arkansas,0.013812,Connecticut,0.002762,Delaware,0.004604,"Washington, District of Columbia",0.004604,Hawaii,0.003683,Idaho,0.039595,Illinois,0.006446,Indiana,0.010129,Iowa,0.010129,Louisiana,0.003683,North Dakota,0.002762,Maine,0.022099,Maryland,0.031308,Michigan,0.019337,Minnesota,0.006446,Mississippi,0.018416,Missouri,0.004604,Montana,0.004604,Nebraska,0.003683,Nevada,0.004604,New Hampshire,0.024862,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the aftermath of the worst terrorist attack on Hispanic Americans in our country’s history, we hit pause on the campaign so I could be here in El Paso. El Paso has proven that it is stronger than any attack against it. But this moment has been a wake up call for America, and I see more clearly than ever what I need to do in this campaign.  

Now, we’re going to take this fight to the source, to the man that has caused this pain and placed us in this peril: Donald Trump. 

It’s going to take all of us in this next stage of our campaign. Will you make a contribution to help us win in 2020?",2019-08-15T14:18:49+0000,Beto for America,0,99,0,999,0.015789,Arizona,0.021053,South Carolina,0.015789,New Mexico,0.015789,North Carolina,0.036842,Ohio,0.005263,Oregon,0.063158,Pennsylvania,0.010526,Rhode Island,0.026316,Tennessee,0.036842,Missouri,0.205263,Texas,0.026316,Virginia,0.047368,Washington,0.015789,West Virginia,0.015789,Wisconsin,0.005263,Hawaii,0.015789,Massachusetts,0.005263,Montana,0.015789,Minnesota,0.005263,Connecticut,0.005263,Vermont,0.010526,Idaho,0.005263,Iowa,0.010526,Kentucky,0.015789,Michigan,0.005263,Nevada,0.005263,Nebraska,0.005263,Alabama,0.015789,Maryland,0.026316,Arkansas,0.1,California,0.026316,Colorado,0.005263,Delaware,0.078947,Florida,0.036842,Illinois,0.005263,Indiana,0.036842,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the aftermath of the worst terrorist attack on Hispanic Americans in our country’s history, we hit pause on the campaign so I could be here in El Paso. But I know that is not going to be enough. Everything is outweighed by my responsibility to this country — because in a democracy, none of us can afford to sit on the sidelines.

Some have suggested that I run again for Senate. But that won’t be enough for my family, my community, or my country. I have to take this fight to the source, to the man that has caused this pain and placed us in this peril: Donald Trump.

It’s going to take all of us to win in 2020. Even the greatest candidate in the world cannot defeat Donald Trump on their own. So in the next few weeks, we’ll need to raise a lot more money to compete as hard as possible.

Can you make a contribution today to help us enter the next phase of this campaign and defeat Donald Trump?",2019-08-15T14:18:48+0000,Beto for America,0,99,0,999,0.01083,Alabama,0.001805,Vermont,0.037906,Pennsylvania,0.019856,South Carolina,0.001805,South Dakota,0.005415,Utah,0.021661,Virginia,0.021661,Washington,0.00361,West Virginia,0.00361,Wisconsin,0.037906,Arizona,0.019856,Oklahoma,0.126354,California,0.041516,Colorado,0.070397,Florida,0.043321,Illinois,0.028881,New Jersey,0.027076,New York,0.021661,Tennessee,0.148014,Texas,0.012635,Oregon,0.021661,Ohio,0.009025,Arkansas,0.019856,Kansas,0.005415,Connecticut,0.00361,Delaware,0.001805,"Washington, District of Columbia",0.019856,Georgia,0.005415,Hawaii,0.00361,Idaho,0.028881,Indiana,0.016245,Iowa,0.009025,Kentucky,0.019856,North Carolina,0.01083,Louisiana,0.009025,Maryland,0.01083,Massachusetts,0.01444,Minnesota,0.018051,Missouri,0.01083,Nebraska,0.009025,Nevada,0.009025,New Mexico,0.037906,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the aftermath of the worst terrorist attack on Hispanic Americans in our country’s history, we hit pause on the campaign so I could be here in El Paso. El Paso has proven that it is stronger than any attack against it. But this moment has been a wake up call for America, and I see more clearly than ever what I need to do in this campaign.  

Now, we’re going to take this fight to the source, to the man that has caused this pain and placed us in this peril: Donald Trump. 

It’s going to take all of us in this next stage of our campaign. Will you make a contribution to help us win in 2020?",2019-08-15T14:18:48+0000,Beto for America,0,99,0,999,0.004695,Alaska,0.00939,Louisiana,0.037559,Georgia,0.004695,Idaho,0.028169,Illinois,0.023474,Indiana,0.00939,Iowa,0.028169,Kansas,0.004695,Maryland,0.037559,Colorado,0.042254,Michigan,0.051643,New York,0.018779,Ohio,0.018779,Oregon,0.004695,Rhode Island,0.15493,Texas,0.014085,Wisconsin,0.065728,Florida,0.150235,California,0.004695,"Washington, District of Columbia",0.00939,Nevada,0.004695,Hawaii,0.004695,Massachusetts,0.014085,Minnesota,0.004695,Mississippi,0.028169,Missouri,0.014085,Nebraska,0.032864,New Jersey,0.046948,Arizona,0.014085,New Mexico,0.023474,North Carolina,0.023474,Oklahoma,0.018779,Pennsylvania,0.00939,Tennessee,0.004695,Arkansas,0.004695,Wyoming,0.028169,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the aftermath of the worst terrorist attack on Hispanic Americans in our country’s history, we hit pause on the campaign so I could be here in El Paso. El Paso has proven that it is stronger than any attack against it. But this moment has been a wake up call for America, and I see more clearly than ever what I need to do in this campaign.  

Now, we’re going to take this fight to the source, to the man that has caused this pain and placed us in this peril: Donald Trump. 

It’s going to take all of us in this next stage of our campaign. Will you make a contribution to help us win in 2020?",2019-08-15T14:18:45+0000,Beto for America,0,99,0,999,0.023622,Arizona,0.007874,Iowa,0.031496,Virginia,0.23622,Texas,0.007874,South Carolina,0.031496,North Carolina,0.07874,New York,0.007874,Nevada,0.015748,Nebraska,0.031496,Missouri,0.023622,Illinois,0.03937,Colorado,0.212598,California,0.007874,Alabama,0.015748,Arkansas,0.007874,Delaware,0.007874,Utah,0.015748,Pennsylvania,0.015748,Maryland,0.007874,Kansas,0.031496,Washington,0.007874,Oregon,0.015748,Michigan,0.015748,Louisiana,0.007874,Kentucky,0.015748,Georgia,0.047244,Florida,0.015748,"Washington, District of Columbia",0.015748,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the aftermath of the worst terrorist attack on Hispanic Americans in our country’s history, we hit pause on the campaign so I could be here in El Paso. But I know that is not going to be enough. Everything is outweighed by my responsibility to this country — because in a democracy, none of us can afford to sit on the sidelines.

Some have suggested that I run again for Senate. But that won’t be enough for my family, my community, or my country. I have to take this fight to the source, to the man that has caused this pain and placed us in this peril: Donald Trump.

It’s going to take all of us to win in 2020. Even the greatest candidate in the world cannot defeat Donald Trump on their own. So in the next few weeks, we’ll need to raise a lot more money to compete as hard as possible.

Can you make a contribution today to help us enter the next phase of this campaign and defeat Donald Trump?",2019-08-15T14:18:45+0000,Beto for America,0,99,1000,4999,0.010996,Alabama,0.010385,South Carolina,0.017715,New Jersey,0.017104,New Mexico,0.029322,New York,0.021991,North Carolina,0.001222,North Dakota,0.038485,Ohio,0.009163,Oklahoma,0.016494,Oregon,0.029933,Pennsylvania,0.001222,Rhode Island,0.002443,South Dakota,0.004887,Nebraska,0.016494,Tennessee,0.255956,Texas,0.003665,Utah,0.000611,Vermont,0.020159,Virginia,0.026878,Washington,0.003665,West Virginia,0.010996,Wisconsin,0.002443,Wyoming,0.003054,Maine,0.009774,Nevada,0.003054,Montana,0.001833,Alaska,0.00672,Idaho,0.036042,Arizona,0.00672,Arkansas,0.089798,California,0.0281,Colorado,0.006109,Connecticut,0.002443,Delaware,0.001833,"Washington, District of Columbia",0.059255,Florida,0.014661,Georgia,0.002443,Hawaii,0.033598,Illinois,0.013439,Missouri,0.026878,Indiana,0.010996,Iowa,0.014661,Kansas,0.015883,Kentucky,0.004887,Louisiana,0.007941,Maryland,0.010385,Massachusetts,0.023213,Michigan,0.010996,Minnesota,0.002443,Mississippi,0.000611,New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the aftermath of the worst terrorist attack on Hispanic Americans in our country’s history, we hit pause on the campaign so I could be here in El Paso. But I know that is not going to be enough. Everything is outweighed by my responsibility to this country — because in a democracy, none of us can afford to sit on the sidelines.

Some have suggested that I run again for Senate. But that won’t be enough for my family, my community, or my country. I have to take this fight to the source, to the man that has caused this pain and placed us in this peril: Donald Trump.

It’s going to take all of us to win in 2020. Even the greatest candidate in the world cannot defeat Donald Trump on their own. So in the next few weeks, we’ll need to raise a lot more money to compete as hard as possible.

Can you make a contribution today to help us enter the next phase of this campaign and defeat Donald Trump?",2019-08-15T14:18:45+0000,Beto for America,0,99,0,999,0.034929,Colorado,0.015524,New Jersey,0.016818,Indiana,0.009056,Kentucky,0.001294,Maine,0.012937,Michigan,0.010349,Minnesota,0.020699,Missouri,0.005175,Montana,0.002587,Nebraska,0.002587,Nevada,0.050453,New York,0.058215,Florida,0.032342,North Carolina,0.019405,Ohio,0.045278,Pennsylvania,0.005175,Rhode Island,0.011643,South Carolina,0.126779,Texas,0.007762,Utah,0.020699,Virginia,0.01423,Wisconsin,0.023286,Maryland,0.032342,Georgia,0.160414,California,0.007762,Connecticut,0.009056,Oklahoma,0.006468,Delaware,0.012937,"Washington, District of Columbia",0.006468,Hawaii,0.043984,Illinois,0.011643,Iowa,0.010349,Kansas,0.003881,Louisiana,0.005175,Mississippi,0.011643,New Mexico,0.003881,North Dakota,0.016818,Oregon,0.005175,Arkansas,0.009056,Tennessee,0.002587,Vermont,0.036223,Washington,0.001294,West Virginia,0.002587,Wyoming,0.002587,Idaho,0.001294,New Hampshire,0.001294,South Dakota,0.007762,Alabama,0.019405,Arizona,0.020699,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the aftermath of the worst terrorist attack on Hispanic Americans in our country’s history, we hit pause on the campaign so I could be here in El Paso. El Paso has proven that it is stronger than any attack against it. But this moment has been a wake up call for America, and I see more clearly than ever what I need to do in this campaign.  

Now, we’re going to take this fight to the source, to the man that has caused this pain and placed us in this peril: Donald Trump. 

It’s going to take all of us in this next stage of our campaign. Will you make a contribution to help us win in 2020?",2019-08-15T14:18:45+0000,Beto for America,0,99,0,999,0.003636,Maine,0.003636,West Virginia,0.021818,Oklahoma,0.007273,Oregon,0.029091,Pennsylvania,0.010909,South Carolina,0.007273,Tennessee,0.243636,Texas,0.032727,Washington,0.010909,Wisconsin,0.036364,New York,0.007273,Connecticut,0.032727,Indiana,0.018182,Iowa,0.007273,Maryland,0.007273,Nebraska,0.018182,North Carolina,0.007273,Utah,0.021818,Virginia,0.021818,Ohio,0.014545,New Mexico,0.003636,Massachusetts,0.065455,Florida,0.007273,Montana,0.003636,Alabama,0.025455,Arizona,0.010909,Arkansas,0.090909,California,0.036364,Colorado,0.010909,"Washington, District of Columbia",0.04,Georgia,0.021818,New Jersey,0.007273,Idaho,0.014545,Illinois,0.014545,Kansas,0.007273,Kentucky,0.018182,Michigan,0.007273,Minnesota,0.025455,Missouri,0.014545,Nevada,0.010909,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the aftermath of the worst terrorist attack on Hispanic Americans in our country’s history, we hit pause on the campaign so I could be here in El Paso. But I know that is not going to be enough. Everything is outweighed by my responsibility to this country — because in a democracy, none of us can afford to sit on the sidelines.

Some have suggested that I run again for Senate. But that won’t be enough for my family, my community, or my country. I have to take this fight to the source, to the man that has caused this pain and placed us in this peril: Donald Trump.

It’s going to take all of us to win in 2020. Even the greatest candidate in the world cannot defeat Donald Trump on their own. So in the next few weeks, we’ll need to raise a lot more money to compete as hard as possible.

Can you make a contribution today to help us enter the next phase of this campaign and defeat Donald Trump?",2019-08-15T14:18:44+0000,Beto for America,0,99,1000,4999,0.006456,Alabama,0.001435,South Dakota,0.036585,New York,0.017934,North Carolina,0.000717,North Dakota,0.033716,Ohio,0.014347,Oklahoma,0.017934,Oregon,0.02439,Pennsylvania,0.002152,Rhode Island,0.012912,South Carolina,0.015782,Tennessee,0.015065,New Jersey,0.323529,Texas,0.007891,Utah,0.014347,Virginia,0.026542,Washington,0.002869,West Virginia,0.009326,Wisconsin,0.002869,Wyoming,0.000717,Hawaii,0.000717,Mississippi,0.002869,New Hampshire,0.017217,New Mexico,0.012912,Nevada,0.020086,Arizona,0.016499,Indiana,0.009326,Arkansas,0.076758,California,0.022956,Colorado,0.014347,Connecticut,0.002869,"Washington, District of Columbia",0.048063,Florida,0.011478,Georgia,0.003587,Idaho,0.028694,Illinois,0.016499,Iowa,0.001435,Nebraska,0.007174,Kansas,0.012912,Kentucky,0.002869,Louisiana,0.005022,Maine,0.01363,Maryland,0.015782,Massachusetts,0.025825,Michigan,0.009326,Minnesota,0.010043,Missouri,0.001435,Montana,0.002152,Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
