ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region
"YOU’VE BEEN SELECTED | HERE’S YOUR RECORD:
• Supporter Status: Top Democrat ✅
• Survey response: Missing! ❌
• Deadline: 11:59 P.M. TONIGHT
 
Mitch McConnell and Donald Trump are leading an onslaught of attacks on President Barack Obama’s legacy. The only way to stop them is by flipping the Senate -- and Nate Silver’s FiveThirtyEight says we can do just that. But not without first hearing from 264 top Dems like you before our critical 11:59 P.M. deadline. Tell us ASAP: Should we protect President Obama’s legacy?",2019-08-20T18:34:53+0000,the DSCC,0,99,0,999,0.036325,Arizona,0.002137,Alabama,0.004274,Rhode Island,0.014957,South Carolina,0.017094,Tennessee,0.087607,Texas,0.027778,Virginia,0.038462,Washington,0.008547,Wisconsin,0.002137,Delaware,0.017094,Oregon,0.002137,Hawaii,0.004274,Idaho,0.002137,Kansas,0.004274,Mississippi,0.004274,Montana,0.004274,Nevada,0.00641,New Hampshire,0.002137,South Dakota,0.038462,Pennsylvania,0.012821,Oklahoma,0.004274,Arkansas,0.014957,Louisiana,0.160256,California,0.025641,Colorado,0.012821,Connecticut,0.070513,Florida,0.042735,Georgia,0.025641,Illinois,0.00641,Indiana,0.008547,Iowa,0.042735,Maryland,0.027778,Ohio,0.019231,Massachusetts,0.019231,Michigan,0.021368,Minnesota,0.00641,Missouri,0.038462,New Jersey,0.004274,New Mexico,0.07265,New York,0.034188,North Carolina,0.004274,Utah,,,,,,,,,,,,,,,,,,
"YOU’VE BEEN SELECTED | HERE’S YOUR RECORD:
• Supporter Status: Top Democrat ✅
• Survey response: Missing! ❌
• Deadline: 11:59 P.M. TONIGHT
 
Mitch McConnell and Donald Trump are leading an onslaught of attacks on President Barack Obama’s legacy. The only way to stop them is by flipping the Senate -- and Nate Silver’s FiveThirtyEight says we can do just that. But not without first hearing from 264 top Dems like you before our critical 11:59 P.M. deadline. Tell us ASAP: Should we protect President Obama’s legacy?",2019-08-20T18:34:51+0000,the DSCC,0,99,1000,4999,0.005339,Alabama,0.005339,Rhode Island,0.011442,New Hampshire,0.030511,New Jersey,0.011442,New Mexico,0.073989,New York,0.021358,North Carolina,0.024409,Ohio,0.006865,Oklahoma,0.026697,Oregon,0.032799,Pennsylvania,0.011442,South Carolina,0.006102,Nebraska,0.001526,South Dakota,0.01373,Tennessee,0.060259,Texas,0.005339,Utah,0.004577,Vermont,0.025172,Virginia,0.044241,Washington,0.003814,West Virginia,0.008391,Wisconsin,0.002288,Wyoming,0.012204,Nevada,0.003814,Montana,0.004577,Alaska,0.000763,Idaho,0.032799,Arizona,0.003051,Arkansas,0.15103,California,0.022121,Colorado,0.009153,Connecticut,0.003051,Delaware,0.005339,"Washington, District of Columbia",0.073989,Florida,0.031274,Georgia,0.006865,Hawaii,0.045004,Illinois,0.014493,Missouri,0.012204,Indiana,0.012204,Iowa,0.009153,Kansas,0.009153,Louisiana,0.000763,Maine,0.030511,Maryland,0.028223,Massachusetts,0.022883,Michigan,0.015256,Minnesota,0.002288,Mississippi,0.000763,North Dakota,,
"YOU’VE BEEN SELECTED | HERE’S YOUR RECORD:
• Supporter Status: Top Democrat ✅
• Survey response: Missing! ❌
• Deadline: 11:59 P.M. TONIGHT
 
Mitch McConnell and Donald Trump are leading an onslaught of attacks on President Barack Obama’s legacy. The only way to stop them is by flipping the Senate -- and Nate Silver’s FiveThirtyEight says we can do just that. But not without first hearing from 264 top Dems like you before our critical 11:59 P.M. deadline. Tell us ASAP: Should we protect President Obama’s legacy?",2019-08-20T18:34:48+0000,the DSCC,0,99,1000,4999,0.004758,Alabama,0.003172,Rhode Island,0.003965,New Hampshire,0.022205,New Jersey,0.012688,New Mexico,0.088025,New York,0.022998,North Carolina,0.023791,Ohio,0.006344,Oklahoma,0.02617,Oregon,0.024584,Pennsylvania,0.00793,South Carolina,0.007137,Nebraska,0.000793,South Dakota,0.011102,Tennessee,0.065028,Texas,0.002379,Utah,0.003965,Vermont,0.026963,Virginia,0.036479,Washington,0.001586,West Virginia,0.014274,Wisconsin,0.011895,Nevada,0.004758,Montana,0.001586,Alaska,0.004758,Hawaii,0.02617,Arizona,0.001586,Arkansas,0.185567,California,0.024584,Colorado,0.011895,Connecticut,0.001586,Delaware,0.00793,"Washington, District of Columbia",0.061063,Florida,0.021412,Georgia,0.004758,Idaho,0.004758,Missouri,0.041237,Illinois,0.013481,Indiana,0.015067,Iowa,0.006344,Kansas,0.007137,Louisiana,0.00793,Maine,0.031721,Maryland,0.042823,Massachusetts,0.020619,Michigan,0.020619,Minnesota,0.002379,Wyoming,,,,,,
"YOU’VE BEEN SELECTED | HERE’S YOUR RECORD:
• Supporter Status: Top Democrat ✅
• Survey response: Missing! ❌
• Deadline: 11:59 P.M. TONIGHT
 
Mitch McConnell and Donald Trump are leading an onslaught of attacks on President Barack Obama’s legacy. The only way to stop them is by flipping the Senate -- and Nate Silver’s FiveThirtyEight says we can do just that. But not without first hearing from 264 top Dems like you before our critical 11:59 P.M. deadline. Tell us ASAP: Should we protect President Obama’s legacy?",2019-08-20T18:34:46+0000,the DSCC,0,99,0,999,0.0181,Alabama,0.013575,South Carolina,0.036199,New York,0.031674,North Carolina,0.081448,Ohio,0.0181,Oklahoma,0.027149,Oregon,0.063348,Pennsylvania,0.004525,Rhode Island,0.004525,South Dakota,0.027149,New Jersey,0.031674,Tennessee,0.054299,Texas,0.031674,Virginia,0.027149,Washington,0.004525,West Virginia,0.0181,Wisconsin,0.00905,Connecticut,0.004525,Iowa,0.004525,New Mexico,0.013575,New Hampshire,0.004525,Alaska,0.027149,Illinois,0.004525,Arkansas,0.153846,California,0.036199,Colorado,0.040724,Florida,0.027149,Georgia,0.004525,Hawaii,0.004525,Idaho,0.022624,Indiana,0.004525,Nebraska,0.00905,Kansas,0.00905,Maryland,0.022624,Massachusetts,0.022624,Michigan,0.0181,Minnesota,0.00905,Mississippi,0.036199,Missouri,0.00905,Montana,0.00905,North Dakota,,,,,,,,,,,,,,,,,,,,
"YOU’VE BEEN SELECTED | HERE’S YOUR RECORD:
• Supporter Status: Top Democrat ✅
• Survey response: Missing! ❌
• Deadline: 11:59 P.M. TONIGHT
 
Mitch McConnell and Donald Trump are leading an onslaught of attacks on President Barack Obama’s legacy. The only way to stop them is by flipping the Senate -- and Nate Silver’s FiveThirtyEight says we can do just that. But not without first hearing from 264 top Dems like you before our critical 11:59 P.M. deadline. Tell us ASAP: Should we protect President Obama’s legacy?",2019-08-20T18:34:44+0000,the DSCC,0,99,0,999,0.015385,Alabama,0.015385,New Hampshire,0.015385,Arkansas,0.030769,Wisconsin,0.030769,West Virginia,0.030769,Washington,0.015385,Virginia,0.107692,Texas,0.030769,Tennessee,0.015385,South Carolina,0.015385,Pennsylvania,0.030769,Oregon,0.061538,Ohio,0.046154,North Carolina,0.030769,New York,0.015385,Nevada,0.015385,Arizona,0.030769,Nebraska,0.015385,Montana,0.015385,Minnesota,0.046154,Michigan,0.030769,Massachusetts,0.015385,Maryland,0.015385,Louisiana,0.015385,Iowa,0.015385,Indiana,0.046154,Illinois,0.046154,Georgia,0.061538,Florida,0.107692,California,0.015385,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YOU’VE BEEN SELECTED | HERE’S YOUR RECORD:
• Supporter Status: Top Democrat ✅
• Survey response: Missing! ❌
• Deadline: 11:59 P.M. TONIGHT
 
Mitch McConnell and Donald Trump are leading an onslaught of attacks on President Barack Obama’s legacy. The only way to stop them is by flipping the Senate -- and Nate Silver’s FiveThirtyEight says we can do just that. But not without first hearing from 264 top Dems like you before our critical 11:59 P.M. deadline. Tell us ASAP: Should we protect President Obama’s legacy?",2019-08-20T18:34:42+0000,the DSCC,0,99,0,999,0.004444,Alabama,0.04,Oregon,0.017778,Nevada,0.004444,New Hampshire,0.022222,New Jersey,0.013333,New Mexico,0.062222,New York,0.035556,North Carolina,0.022222,Ohio,0.004444,Oklahoma,0.053333,Pennsylvania,0.004444,Montana,0.004444,Rhode Island,0.004444,South Carolina,0.008889,Tennessee,0.066667,Texas,0.008889,Utah,0.017778,Virginia,0.044444,Washington,0.026667,Wisconsin,0.004444,Wyoming,0.004444,Nebraska,0.022222,Missouri,0.004444,Alaska,0.004444,Hawaii,0.013333,Arkansas,0.164444,California,0.013333,Colorado,0.022222,Connecticut,0.008889,Delaware,0.008889,"Washington, District of Columbia",0.053333,Florida,0.013333,Georgia,0.044444,Illinois,0.004444,Mississippi,0.008889,Indiana,0.008889,Iowa,0.017778,Kansas,0.004444,Louisiana,0.004444,Maine,0.008889,Maryland,0.031111,Massachusetts,0.031111,Michigan,0.026667,Minnesota,0.004444,Idaho,,,,,,,,,,,,
"YOU’VE BEEN SELECTED | HERE’S YOUR RECORD:
• Supporter Status: Top Democrat ✅
• Survey response: Missing! ❌
• Deadline: 11:59 P.M. TONIGHT
 
Mitch McConnell and Donald Trump are leading an onslaught of attacks on President Barack Obama’s legacy. The only way to stop them is by flipping the Senate -- and Nate Silver’s FiveThirtyEight says we can do just that. But not without first hearing from 264 top Dems like you before our critical 11:59 P.M. deadline. Tell us ASAP: Should we protect President Obama’s legacy?",2019-08-20T18:34:40+0000,the DSCC,0,99,0,999,0.010676,Alabama,0.001779,Rhode Island,0.02847,New Jersey,0.007117,New Mexico,0.065836,New York,0.035587,North Carolina,0.016014,Ohio,0.010676,Oklahoma,0.024911,Oregon,0.037367,Pennsylvania,0.012456,South Carolina,0.005338,Nevada,0.014235,Tennessee,0.05694,Texas,0.010676,Utah,0.001779,Vermont,0.030249,Virginia,0.024911,Washington,0.001779,West Virginia,0.02847,Wisconsin,0.001779,Wyoming,0.003559,New Hampshire,0.005338,Nebraska,0.001779,Alaska,0.010676,Indiana,0.02847,Arizona,0.016014,Arkansas,0.126335,California,0.021352,Colorado,0.014235,Connecticut,0.090747,Florida,0.017794,Georgia,0.007117,Idaho,0.039146,Illinois,0.008897,Iowa,0.007117,Montana,0.007117,Kansas,0.005338,Louisiana,0.008897,Maine,0.021352,Maryland,0.035587,Massachusetts,0.039146,Michigan,0.02847,Minnesota,0.005338,Mississippi,0.021352,Missouri,0.001779,Hawaii,,,,,,,,,,
"YOU’VE BEEN SELECTED | HERE’S YOUR RECORD:
• Supporter Status: Top Democrat ✅
• Survey response: Missing! ❌
• Deadline: 11:59 P.M. TONIGHT
 
Mitch McConnell and Donald Trump are leading an onslaught of attacks on President Barack Obama’s legacy. The only way to stop them is by flipping the Senate -- and Nate Silver’s FiveThirtyEight says we can do just that. But not without first hearing from 264 top Dems like you before our critical 11:59 P.M. deadline. Tell us ASAP: Should we protect President Obama’s legacy?",2019-08-20T18:34:38+0000,the DSCC,0,99,0,999,0.015444,Alabama,0.030888,Pennsylvania,0.023166,New Jersey,0.019305,New Mexico,0.069498,New York,0.011583,North Carolina,0.003861,North Dakota,0.030888,Ohio,0.011583,Oklahoma,0.023166,Oregon,0.003861,South Carolina,0.003861,Nebraska,0.003861,South Dakota,0.011583,Tennessee,0.050193,Texas,0.015444,Utah,0.027027,Virginia,0.034749,Washington,0.027027,Wisconsin,0.003861,Hawaii,0.011583,Nevada,0.015444,Missouri,0.003861,Alaska,0.027027,Georgia,0.023166,Arizona,0.007722,Arkansas,0.123552,California,0.034749,Colorado,0.007722,Connecticut,0.011583,Delaware,0.007722,"Washington, District of Columbia",0.07722,Florida,0.042471,Illinois,0.003861,Mississippi,0.019305,Indiana,0.011583,Iowa,0.015444,Kansas,0.007722,Louisiana,0.003861,Maine,0.034749,Maryland,0.050193,Massachusetts,0.027027,Michigan,0.007722,Minnesota,0.003861,New Hampshire,,,,,,,,,,,,,,
"YOU’VE BEEN SELECTED | HERE’S YOUR RECORD:
• Supporter Status: Top Democrat ✅
• Survey response: Missing! ❌
• Deadline: 11:59 P.M. TONIGHT
 
Mitch McConnell and Donald Trump are leading an onslaught of attacks on President Barack Obama’s legacy. The only way to stop them is by flipping the Senate -- and Nate Silver’s FiveThirtyEight says we can do just that. But not without first hearing from 264 top Dems like you before our critical 11:59 P.M. deadline. Tell us ASAP: Should we protect President Obama’s legacy?",2019-08-20T18:34:36+0000,the DSCC,0,99,0,999,0.004329,Alabama,0.064935,Texas,0.034632,North Carolina,0.004329,North Dakota,0.038961,Ohio,0.017316,Oregon,0.038961,Pennsylvania,0.004329,Rhode Island,0.012987,South Carolina,0.008658,Tennessee,0.004329,Vermont,0.030303,New Jersey,0.021645,Virginia,0.030303,Washington,0.038961,Wisconsin,0.004329,"Washington, District of Columbia",0.004329,Iowa,0.004329,Kansas,0.008658,Maine,0.004329,Oklahoma,0.090909,New York,0.008658,New Hampshire,0.004329,Alaska,0.038961,Illinois,0.038961,Arizona,0.004329,Arkansas,0.112554,California,0.021645,Colorado,0.012987,Connecticut,0.082251,Florida,0.004329,Georgia,0.008658,Hawaii,0.012987,Indiana,0.012987,Nevada,0.021645,Louisiana,0.038961,Maryland,0.025974,Massachusetts,0.017316,Michigan,0.017316,Minnesota,0.008658,Mississippi,0.021645,Missouri,0.008658,Nebraska,0.004329,West Virginia,,,,,,,,,,,,,,,,
"YOU’VE BEEN SELECTED | HERE’S YOUR RECORD:
• Supporter Status: Top Democrat ✅
• Survey response: Missing! ❌
• Deadline: 11:59 P.M. TONIGHT
 
Mitch McConnell and Donald Trump are leading an onslaught of attacks on President Barack Obama’s legacy. The only way to stop them is by flipping the Senate -- and Nate Silver’s FiveThirtyEight says we can do just that. But not without first hearing from 264 top Dems like you before our critical 11:59 P.M. deadline. Tell us ASAP: Should we protect President Obama’s legacy?",2019-08-20T18:34:33+0000,the DSCC,0,99,0,999,0.004,Alaska,0.016,Tennessee,0.096,New York,0.012,North Carolina,0.044,Ohio,0.004,Oklahoma,0.028,Oregon,0.02,Pennsylvania,0.008,Rhode Island,0.008,South Carolina,0.06,Texas,0.024,New Jersey,0.004,Utah,0.012,Vermont,0.02,Virginia,0.02,Washington,0.012,West Virginia,0.028,Wisconsin,0.004,Wyoming,0.008,Alabama,0.02,New Mexico,0.004,New Hampshire,0.024,Arizona,0.012,Iowa,0.004,Arkansas,0.132,California,0.028,Colorado,0.028,Connecticut,0.076,Florida,0.012,Georgia,0.04,Illinois,0.02,Indiana,0.02,Kansas,0.012,Nevada,0.004,Maine,0.024,Maryland,0.02,Massachusetts,0.028,Michigan,0.02,Minnesota,0.004,Mississippi,0.012,Missouri,0.012,Montana,0.008,Nebraska,0.004,Idaho,,,,,,,,,,,,,,
